conv_id,turn_id,text,harassment_level,fake_legal_threat,privacy_issue,offensive_label,comment,p_offensive
conv1,0,"sir nenu ABC Finance nundi call chestunna, mee gold loan EMI gurinchi maatladali",NONE,0,0,0,polite intro,0.4421355724334717
conv1,2,"sir today due date, please before 7 pm payment chestaru ante problem undadu",NONE,0,0,0,normal reminder,0.31144076585769653
conv1,4,"sir already three times reminder icham, next month nundi penalty interest pedataru",LOW,0,0,0,mild pressure but not abusive,0.411312997341156
conv2,0,"bro emi cheyadam ledu, daily call chestham appudu malli complaint anukuntaara?",LOW,0,0,0,slightly rude tone but not harassment yet,0.44762876629829407
conv2,3,inka ila delay chesthe company people home ki ochi matladali antey,MEDIUM,0,0,1,indirect home-visit threat,0.4104674458503723
conv2,5,mee neighbours mundu scene create avvakunda ippude clear cheyandi,MEDIUM,0,0,1,humiliation pressure,0.44705045223236084
conv3,0,"hello madam, nenu collections team nundi, last month EMI miss ayyindi kabatti call chestunna",NONE,0,0,0,polite intro,0.3923306167125702
conv3,3,"madam otp cheppandi, nenu phone lo payment complete chestha",HIGH,0,1,1,asking for OTP = privacy violation,0.5018694996833801
conv3,4,"otp evaritho share cheyyakudadhu ani message ochindi kada, alanti request cheyyadam tappu",NONE,0,0,0,this one is actually correct education (non-offensive),0.6452274322509766
conv4,0,"inka emi excuse matladakunda today ne payment cheyyali, leka pothe nenu police complaint pettestha",HIGH,1,0,1,fake legal threat,0.513595461845398
conv4,2,"court case padithe jail kosam ready undali, naa degara recording undi",HIGH,1,0,1,"strong fake threat, clearly offensive",0.4841269254684448
conv5,0,"sir tension padakandi, emi ayina nenu explain chestha, installment plan petti slow ga clear cheyyachu",NONE,0,0,0,"reassuring, non offensive",0.4573096036911011
conv5,2,"meeru ippudu pay cheyyalekapothe ok, kani talk rude ga cheyyakandi please",LOW,0,0,0,"soft boundary setting, not harassment",0.5818445086479187
conv6,0,"nee mind lo emi undaado telidu kani idi loan, nee daddy pocket money kaadu",MEDIUM,0,0,1,"humiliating comparison, offensive",0.5595232844352722
conv6,3,"inkoka sari emi gattiga maatladithe call cut chesi block chestham, malli loan dorakadu",MEDIUM,0,0,1,threat about future credit access,0.5127049088478088
conv7,0,"ra bhayya emi comedy chesthunav, emi EMI ante chesina chatti ledu",MEDIUM,0,0,1,"disrespectful, mocking tone",0.6299791932106018
conv7,2,nee amma lanja kodaka emi loan tiskoni emi danger create chesav,HIGH,0,0,1,explicit abuse/slur,0.7121436595916748
conv8,0,"sir app lo amount and due date clear ga chupistundi, memu formal ga remind chesthunna",NONE,0,0,0,clean,0.21996468305587769
conv8,2,"call disturb ayite sorry, mi convenient time cheppandi schedule chestha",NONE,0,0,0,very polite,0.2336498498916626
conv9,0,"meeru naku phone cut chesthe nenu mee office ki directly vastha, andar mundu cheptha",MEDIUM,0,0,1,office humiliation threat,0.46858686208724976
conv9,3,"sare sir, nenu aggressive ayyaanu, sorry, mana madhya matladukundam",LOW,0,0,0,"apology, tone softened",0.5130847096443176
conv10,0,"night 10 clock varaku call chestha, emi rule undi ante cheppu",HIGH,0,0,1,timing harassment against RBI norms,0.2860868573188782
conv10,2,idhe style lo matladithe nenu meeku dorakakunda chestha future loan,MEDIUM,0,0,1,threatening future credit,0.35036641359329224
